context,benchmark_kind,dataset_id,dataset_label,structure_id,target_variant,target_display_name,comparator_variant,comparator_display_name,metric,ratio,target_value,comparator_value,interpretation
single_file:5vyc:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,5vyc,zsasa_bitmask_f64,zsasa bitmask f64,freesasa,FreeSASA,rss_reduction,10.389704695820559,96.828125,1006.015625,higher means target uses less memory
single_file:5vyc:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,5vyc,zsasa_bitmask_f64,zsasa bitmask f64,rustsasa,RustSASA,runtime_speedup,63.014654797947045,0.1972618845,12.430389556560002,higher means target is faster
single_file:5vyc:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,5vyc,zsasa_bitmask_f64,zsasa bitmask f64,rustsasa,RustSASA,rss_reduction,3.002904631273197,96.828125,290.765625,higher means target uses less memory
single_file:5vyc:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,5vyc,zsasa_bitmask_f32,zsasa bitmask f32,freesasa,FreeSASA,runtime_speedup,2.712742011742149,0.19848144002,0.5384289408933335,higher means target is faster
single_file:5vyc:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,5vyc,zsasa_bitmask_f32,zsasa bitmask f32,freesasa,FreeSASA,rss_reduction,10.501549502528135,95.796875,1006.015625,higher means target uses less memory
single_file:5vyc:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,5vyc,zsasa_bitmask_f32,zsasa bitmask f32,rustsasa,RustSASA,runtime_speedup,62.62746559732462,0.19848144002,12.430389556560002,higher means target is faster
single_file:5vyc:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,5vyc,zsasa_bitmask_f32,zsasa bitmask f32,rustsasa,RustSASA,rss_reduction,3.0352307943239274,95.796875,290.765625,higher means target uses less memory
single_file:8rbs:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,8rbs,zsasa_f64,zsasa f64,freesasa,FreeSASA,runtime_speedup,119.7323728457599,0.11818163102000001,14.150167108806665,higher means target is faster
single_file:8rbs:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,8rbs,zsasa_f64,zsasa f64,freesasa,FreeSASA,rss_reduction,513.8805194805195,48.125,24730.5,higher means target uses less memory
single_file:8rbs:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,8rbs,zsasa_f64,zsasa f64,rustsasa,RustSASA,runtime_speedup,1.9735816614388095,0.11818163102000001,0.23324109969999998,higher means target is faster
single_file:8rbs:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,8rbs,zsasa_f64,zsasa f64,rustsasa,RustSASA,rss_reduction,4.099675324675324,48.125,197.296875,higher means target uses less memory
single_file:8rbs:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,8rbs,zsasa_f32,zsasa f32,freesasa,FreeSASA,runtime_speedup,120.97721429206139,0.11696555580000001,14.150167108806665,higher means target is faster
