run_id,benchmark_kind,dataset_id,dataset_label,dataset_role,variant,display_name,tool_id,algorithm,precision,mode,threads,n_points,n_slices,source_kind,source_path,manifest_id,status,expected_count,structure_id,structure_role,n_atoms,expected_chains,frame_count,runtime_mean_s,runtime_stddev_s,runtime_min_s,runtime_median_s,runtime_max_s,runtime_run_1_s,runtime_run_2_s,runtime_run_3_s,peak_rss_mean_mib,peak_rss_stddev_mib,peak_rss_min_mib,peak_rss_median_mib,peak_rss_max_mib,user_time_mean_s,system_time_mean_s,parse_time_ms,sasa_time_ms,total_time_ms,item_count,item_unit,items_per_sec,ms_per_item,atoms_per_sec,atom_frames_per_sec,items_per_sec_per_mib,cpu_utilization_proxy
v0_6_0_full_batch_UP000000625_83333_ECOLI_v6_pdb_zsasa_batch_f64_bitmask_1t_128p_f10464aff9bd,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,batch-throughput,zsasa_bitmask_f64,zsasa bitmask f64,zsasa,sr,f64,bitmask,1,128,,full_rerun,/Users/nagaet/ghq/github.com/N283T/zsasa-benchmarks/results/full_rerun/v0_6_0_full/batch/ecoli/hyperfine/zsasa_batch_f64_bitmask_1t_128p.json,batch-ecoli-full-rerun,imported,4370,,,,,,10.194242016966667,0.005408020458164283,10.188374336299999,10.1953253363,10.1990263783,10.188374336299999,10.1953253363,10.1990263783,11.734375,0.0,11.734375,11.734375,11.734375,8.86091762,0.19985178666666667,,,,4370,structures,428.67336215157945,2.33277849358505,,,36.53141834580704,0.8888124680173849
v0_6_0_full_batch_UP000000625_83333_ECOLI_v6_pdb_zsasa_batch_f64_bitmask_4t_128p_e0033311639c,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,batch-throughput,zsasa_bitmask_f64,zsasa bitmask f64,zsasa,sr,f64,bitmask,4,128,,full_rerun,/Users/nagaet/ghq/github.com/N283T/zsasa-benchmarks/results/full_rerun/v0_6_0_full/batch/ecoli/hyperfine/zsasa_batch_f64_bitmask_4t_128p.json,batch-ecoli-full-rerun,imported,4370,,,,,,2.616616918953334,0.021866600608541707,2.5986767526200003,2.61019996062,2.6409740436200004,2.61019996062,2.6409740436200004,2.5986767526200003,25.505208333333332,0.018042195912175804,25.484375,25.515625,25.515625,9.15051606,0.18998767999999996,,,,4370,structures,1670.0954458966169,0.5987681736735317,,,65.48056475641218,3.5696871301039623
v0_6_0_full_batch_UP000000625_83333_ECOLI_v6_pdb_zsasa_batch_f64_bitmask_8t_128p_7e95e2683172,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,batch-throughput,zsasa_bitmask_f64,zsasa bitmask f64,zsasa,sr,f64,bitmask,8,128,,full_rerun,/Users/nagaet/ghq/github.com/N283T/zsasa-benchmarks/results/full_rerun/v0_6_0_full/batch/ecoli/hyperfine/zsasa_batch_f64_bitmask_8t_128p.json,batch-ecoli-full-rerun,imported,4370,,,,,,1.6688054690266665,0.009510846309578472,1.65788503836,1.67325853836,1.67527283036,1.67325853836,1.67527283036,1.65788503836,40.96875,0.0,40.96875,40.96875,40.96875,11.823156393333333,0.3660795133333334,,,,4370,structures,2618.6395485321664,0.381877681699466,,,63.91797525021306,7.304168240637454
v0_6_0_full_batch_UP000000625_83333_ECOLI_v6_pdb_zsasa_batch_f64_bitmask_10t_128p_5ddbd0809d1e,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,batch-throughput,zsasa_bitmask_f64,zsasa bitmask f64,zsasa,sr,f64,bitmask,10,128,,full_rerun,/Users/nagaet/ghq/github.com/N283T/zsasa-benchmarks/results/full_rerun/v0_6_0_full/batch/ecoli/hyperfine/zsasa_batch_f64_bitmask_10t_128p.json,batch-ecoli-full-rerun,imported,4370,,,,,,1.4817071704066667,0.03613510442214804,1.4590898647400001,1.46264990674,1.52338173974,1.52338173974,1.4590898647400001,1.46264990674,48.28125,0.0,48.28125,48.28125,48.28125,12.976569393333333,0.3435384799999999,,,,4370,structures,2949.300703458577,0.3390634257223493,,,61.085839812734285,8.989703322875545
v0_6_0_full_batch_UP000000625_83333_ECOLI_v6_pdb_zsasa_batch_f32_standard_1t_128p_9de8e0038579,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,batch-throughput,zsasa_f32,zsasa f32,zsasa,sr,f32,standard,1,128,,full_rerun,/Users/nagaet/ghq/github.com/N283T/zsasa-benchmarks/results/full_rerun/v0_6_0_full/batch/ecoli/hyperfine/zsasa_batch_f32_standard_1t_128p.json,batch-ecoli-full-rerun,imported,4370,,,,,,28.69548087554,0.01791502554936743,28.68041188954,28.69074172254,28.71528901454,28.71528901454,28.69074172254,28.68041188954,9.994791666666666,0.018042195912175808,9.984375,9.984375,10.015625,27.19723322,0.26223527999999996,,,,4370,structures,152.2887878740859,6.56647159623341,,,15.236814628360863,0.956926584332184
v0_6_0_full_batch_UP000000625_83333_ECOLI_v6_pdb_zsasa_batch_f32_standard_4t_128p_1a6a9e92bbf3,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,batch-throughput,zsasa_f32,zsasa f32,zsasa,sr,f32,standard,4,128,,full_rerun,/Users/nagaet/ghq/github.com/N283T/zsasa-benchmarks/results/full_rerun/v0_6_0_full/batch/ecoli/hyperfine/zsasa_batch_f32_standard_4t_128p.json,batch-ecoli-full-rerun,imported,4370,,,,,,7.463360800106667,0.03112772107059912,7.43252100844,7.46279271744,7.49476867444,7.49476867444,7.46279271744,7.43252100844,22.479166666666668,0.036084391824351615,22.4375,22.5,22.5,28.44923506666667,0.2739054266666666,,,,4370,structures,585.5270992576887,1.7078628833196035,,,26.047544730647875,3.8485531200532104
v0_6_0_full_batch_UP000000625_83333_ECOLI_v6_pdb_zsasa_batch_f32_standard_8t_128p_198dc96a29e0,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,batch-throughput,zsasa_f32,zsasa f32,zsasa,sr,f32,standard,8,128,,full_rerun,/Users/nagaet/ghq/github.com/N283T/zsasa-benchmarks/results/full_rerun/v0_6_0_full/batch/ecoli/hyperfine/zsasa_batch_f32_standard_8t_128p.json,batch-ecoli-full-rerun,imported,4370,,,,,,4.831531125173334,0.027884161261624688,4.79933840284,4.84712956984,4.84812540284,4.84712956984,4.84812540284,4.79933840284,36.15625,0.0,36.15625,36.15625,36.15625,36.97047841333333,0.5515277866666667,,,,4370,structures,904.4751832874147,1.1056135297879481,,,25.015735406393492,7.766069435939705
v0_6_0_full_batch_UP000000625_83333_ECOLI_v6_pdb_zsasa_batch_f32_standard_10t_128p_b3873db1d957,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,batch-throughput,zsasa_f32,zsasa f32,zsasa,sr,f32,standard,10,128,,full_rerun,/Users/nagaet/ghq/github.com/N283T/zsasa-benchmarks/results/full_rerun/v0_6_0_full/batch/ecoli/hyperfine/zsasa_batch_f32_standard_10t_128p.json,batch-ecoli-full-rerun,imported,4370,,,,,,4.165877724886667,0.019291985745058637,4.14803419722,4.16325015522,4.18634882222,4.18634882222,4.14803419722,4.16325015522,42.8125,0.10825317547305482,42.6875,42.875,42.875,39.322867366666664,0.49100748,,,,4370,structures,1048.9986237219398,0.9532900972280703,,,24.502157634381074,9.5571395696089
v0_6_0_full_batch_UP000000625_83333_ECOLI_v6_pdb_zsasa_batch_f64_standard_1t_128p_ba58898cdc52,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,batch-throughput,zsasa_f64,zsasa f64,zsasa,sr,f64,standard,1,128,,full_rerun,/Users/nagaet/ghq/github.com/N283T/zsasa-benchmarks/results/full_rerun/v0_6_0_full/batch/ecoli/hyperfine/zsasa_batch_f64_standard_1t_128p.json,batch-ecoli-full-rerun,imported,4370,,,,,,29.41041057018,0.013699528746121693,29.39879554218,29.40691779218,29.425518376179998,29.39879554218,29.425518376179998,29.40691779218,9.4375,0.0,9.4375,9.4375,9.4375,27.93212355333333,0.26775923333333324,,,,4370,structures,148.58684102937548,6.730071068691076,,,15.744301036225217,0.9588401603362612
v0_6_0_full_batch_UP000000625_83333_ECOLI_v6_pdb_zsasa_batch_f64_standard_4t_128p_9b8d751e2f3e,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,batch-throughput,zsasa_f64,zsasa f64,zsasa,sr,f64,standard,4,128,,full_rerun,/Users/nagaet/ghq/github.com/N283T/zsasa-benchmarks/results/full_rerun/v0_6_0_full/batch/ecoli/hyperfine/zsasa_batch_f64_standard_4t_128p.json,batch-ecoli-full-rerun,imported,4370,,,,,,7.716202086213333,0.03393039855435418,7.6771322808799995,7.73320032188,7.73827365588,7.6771322808799995,7.73827365588,7.73320032188,23.369791666666668,0.279654036638725,23.046875,23.53125,23.53125,29.399401839999996,0.29284644666666665,,,,4370,structures,566.3407919043426,1.7657213011929824,,,24.233882782623976,3.848039223819487
