dataset_id,dataset_label,variant,display_name,threads,expected_count,runtime_mean_s,runtime_stddev_s,throughput_structures_per_sec,ms_per_structure,peak_rss_mean_mib,peak_rss_stddev_mib,throughput_per_mib,cpu_utilization_proxy,speedup_vs_1_thread,parallel_efficiency
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,zsasa_bitmask_f64,zsasa bitmask f64,8,4370,1.6966264201266668,0.010664160707618931,2575.6996049099275,0.3882440320655988,41.078125,0.0,62.702462804958294,7.41037745504086,6.037709358737455,0.7547136698421819
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,zsasa_bitmask_f64,zsasa bitmask f64,10,4370,1.5042483332199998,0.027860873449694425,2905.105429397792,0.3442215865491991,48.515625,0.0,59.87978984910102,8.989204815041916,6.809871075710097,0.6809871075710097
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,zsasa_bitmask_f32,zsasa bitmask f32,1,4370,10.04457669094,0.01153805007368917,435.06064361494197,2.2985301352265446,12.34375,0.0,35.24541922956492,0.8896744490381344,1.0,1.0
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,zsasa_bitmask_f32,zsasa bitmask f32,4,4370,2.5885418665,0.027449773461007916,1688.2091252048135,0.5923436765446224,24.671875,0.0,68.42646232622424,3.571129368094382,3.8803995488477065,0.9700998872119266
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,zsasa_bitmask_f32,zsasa bitmask f32,8,4370,1.665820627766667,0.028942060039658882,2623.3316643814005,0.3811946516628529,38.734375,0.0,67.72619060928182,7.423318597780488,6.029806885274657,0.7537258606593321
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,zsasa_bitmask_f32,zsasa bitmask f32,10,4370,1.4808608920266668,0.0012940572259066744,2950.9861618530113,0.3388697693424867,45.0625,0.10825317547305482,65.4865167678893,8.924860238050865,6.782930621655663,0.6782930621655663
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,freesasa_batch,FreeSASA batch,1,4370,41.61993562903333,0.247289531789775,104.99775970224148,9.524012729755912,86.375,0.0,1.2156035855541705,0.9188033247859569,1.0,1.0
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,freesasa_batch,FreeSASA batch,4,4370,11.932542112006667,0.15428565795037297,366.225399330697,2.7305588356994663,179.546875,0.0,2.03972026430812,3.6325505277749532,3.4879353651855,0.871983841296375
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,freesasa_batch,FreeSASA batch,8,4370,12.420266490000001,0.3499501609510876,351.8443024969265,2.842166244851259,214.703125,0.18944305707784595,1.638747933906069,7.098453804056286,3.3509696158728173,0.41887120198410216
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,freesasa_batch,FreeSASA batch,10,4370,12.98191986632,0.03531323411497062,336.6220131536499,2.9706910449244854,212.578125,0.0,1.5835214143207346,7.571566273620053,3.205992338391423,0.3205992338391423
