dataset_id,dataset_label,frame_count,atom_count,variant,display_name,bitmask_variant,threads,runtime_mean_s,runtime_median_s,runtime_stddev_s,speedup_vs_t10_median,frames_per_sec,peak_rss_mean_mib,manifest_id
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,single,40,0.7346602130066667,0.73390118534,0.0030356085733417915,1.0961431496630045,1362.5346551752305,39.40625,trajectory-zsasa-t40
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,single_corrected,10,0.8095391496133333,0.81131616328,0.00363155424099798,1.0,1236.5059805669875,24.1875,trajectory-full-rerun
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,single_corrected,20,0.7735229430333335,0.7736943737,0.0003589532538497697,1.048626164101573,1294.079262955829,26.765625,trajectory-zsasa-t20
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,single_corrected,40,0.7385222433133333,0.73983028498,0.003421880642308927,1.0966246985981825,1355.4094125981594,34.901041666666664,trajectory-zsasa-t40
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,cycle,10,0.8810379610200001,0.88127168302,0.0007348027766604889,1.0,1136.159898083298,25.78125,trajectory-full-rerun
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,cycle,20,0.8315663536466668,0.82808726998,0.006255680415488179,1.0642256136135078,1203.7524072616889,36.927083333333336,trajectory-zsasa-t20
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,cycle,40,0.7979023578600001,0.7991673998600001,0.0024954516210776534,1.1027372777898388,1254.5394685694555,45.661458333333336,trajectory-zsasa-t40
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,cycle_corrected,10,0.8760038299866667,0.87663531632,0.001163074118794833,1.0,1142.6890679407597,25.203125,trajectory-full-rerun
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,cycle_corrected,20,0.8411667519133333,0.84360689058,0.0048310766579559225,1.0391514413986023,1190.0137490255138,34.796875,trajectory-zsasa-t20
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,cycle_corrected,40,0.8039336669133333,0.80368275058,0.00468021378330865,1.09077284001349,1245.1276034293896,46.067708333333336,trajectory-zsasa-t40
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,per_frame,10,2.8407624966533334,2.84435616332,0.006538073845653907,1.0,352.37018271652965,38.296875,trajectory-full-rerun
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,per_frame,20,2.715433355806667,2.71544931414,0.00422646009595606,1.0474716462239788,368.63360975494663,67.72916666666667,trajectory-zsasa-t20
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,per_frame,40,2.64417815604,2.6407224200400004,0.006431354738862439,1.0771128921899014,378.5675324915048,124.19791666666667,trajectory-zsasa-t40
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,single,10,0.81266290024,0.81353570624,0.0024219311412570785,1.0,1231.753042626136,24.34375,trajectory-full-rerun
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,single,20,0.7742446349933334,0.7748106906600001,0.004637275445916097,1.0499799706519448,1292.8730206940588,26.875,trajectory-zsasa-t20
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,single,40,0.7420086113399998,0.73949981934,0.004874136281359409,1.1001161663110028,1349.0409473716018,38.927083333333336,trajectory-zsasa-t40
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,single_corrected,10,0.8186856692200001,0.8185322942200001,0.0007867313609962696,1.0,1222.691489095808,24.286458333333332,trajectory-full-rerun
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,single_corrected,20,0.77854463864,0.7788016386400001,0.0032433955683050146,1.0510151155426182,1285.7323142685768,28.09375,trajectory-zsasa-t20
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,single_corrected,40,0.7398786044933335,0.74136625716,0.004369003898593033,1.104086254688209,1352.9246472608593,43.140625,trajectory-zsasa-t40
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_f32,zsasa CLI f32,,10,1.7368284495933335,1.73593067226,0.009466856361581259,1.0,576.3378647064293,24.328125,trajectory-full-rerun
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_f32,zsasa CLI f32,,20,1.6415922263333333,1.647132726,0.01691210636514475,1.0539106198658579,609.773842701386,28.875,trajectory-zsasa-t20
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_f32,zsasa CLI f32,,40,1.5690330437133333,1.56912809938,0.0022093676580746432,1.1063027122807294,637.9725423952801,51.953125,trajectory-zsasa-t40
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_f64,zsasa CLI f64,,10,1.8091690732666665,1.8032533236000001,0.011347328109106611,1.0,553.2926771695126,24.34375,trajectory-full-rerun
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_f64,zsasa CLI f64,,20,1.6745193732599999,1.67649187326,0.012136239651201315,1.0756111332013245,597.783469086551,29.291666666666668,trajectory-zsasa-t20
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_f64,zsasa CLI f64,,40,1.6350497272733333,1.63498429694,0.0018591342333355784,1.1029178243331932,612.2137958882162,54.098958333333336,trajectory-zsasa-t40
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,cycle,10,7.050214624186666,7.04487229052,0.023266355693865474,1.0,141.98149323936053,153.9375,trajectory-full-rerun
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,cycle,20,6.8600770854199995,6.854948460419999,0.04011636107869372,1.0277060916207623,145.916727689178,235.5625,trajectory-zsasa-t20
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,cycle,40,6.661866703206666,6.65233006454,0.018014699413967716,1.0590082305254864,150.25818506968508,445.2552083333333,trajectory-zsasa-t40
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,cycle_corrected,10,7.09920149416,7.088584786159999,0.018649560094886265,1.0,141.00177334358665,145.015625,trajectory-full-rerun
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,cycle_corrected,20,6.841561140806667,6.83464168214,0.018248789466622152,1.0371552915032243,146.31163551685736,235.609375,trajectory-zsasa-t20
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,cycle_corrected,40,6.664004421193333,6.66679449086,0.024814524786665883,1.063267331230663,150.20998437764385,443.65625,trajectory-zsasa-t40
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,per_frame,10,9.043573840679999,9.06497874368,0.08733979182241816,1.0,110.6863301648824,163.31770833333334,trajectory-full-rerun
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,per_frame,20,8.791783722526667,8.80372218086,0.0323023609804525,1.029675693695559,113.85630397563091,279.796875,trajectory-zsasa-t20
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,per_frame,40,8.652614162126666,8.64075774546,0.047024218998089076,1.0490953468106303,115.68758079858391,524.921875,trajectory-zsasa-t40
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,single,10,6.960941507433333,6.9537935071,0.013710467199788207,1.0,143.80238634832213,142.03125,trajectory-full-rerun
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,single,20,6.717489348473333,6.72121919614,0.0326694345332002,1.0346029945123003,149.01400628606797,233.859375,trajectory-zsasa-t20
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,single,40,6.593396676846666,6.591345524179999,0.020540267753426482,1.0549884665566962,151.8185616702095,431.9583333333333,trajectory-zsasa-t40
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,single_corrected,10,6.899578497386667,6.89642378872,0.014010398223694764,1.0,145.08132639974252,145.34375,trajectory-full-rerun
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,single_corrected,20,6.715315784006667,6.7109112703400005,0.01873098064309005,1.0276434169529112,149.06223805349586,228.515625,trajectory-zsasa-t20
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,single_corrected,40,6.574400739800001,6.568647392800001,0.011285218171748955,1.0499001356472992,152.25722307132304,432.328125,trajectory-zsasa-t40
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,cycle,10,7.1671796600799995,7.169148202080001,0.007541489628035621,1.0,139.66442135885106,151.640625,trajectory-full-rerun
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,cycle,20,6.999612256253333,6.9855190059200005,0.027819174234315475,1.0262871228328747,143.00792148961162,250.03645833333334,trajectory-zsasa-t20
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,cycle,40,6.899273945986667,6.90348716832,0.01939489533818238,1.038482150727985,145.08773065639542,469.90625,trajectory-zsasa-t40
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,cycle_corrected,10,7.172491091986667,7.16435985532,0.018190377154662322,1.0,139.5609959165162,161.77604166666666,trajectory-full-rerun
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,cycle_corrected,20,7.01005892598,7.00734227298,0.010822628478191652,1.022407579967294,142.79480537462973,250.40625,trajectory-zsasa-t20
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,cycle_corrected,40,6.895744301433333,6.8884612871,0.020218847851833064,1.0400522782550399,145.1619950281414,463.2291666666667,trajectory-zsasa-t40
